School District,Estimated Completion Rate,Population
Vancouver,84,635383
Surrey,85,483813
Burnaby,86,225039
Greater Victoria,80,223584
Coquitlam,90,222578
Richmond,92,192277
Central Okanagan,84,181213
North Vancouver,88,139308
Abbotsford,86,137431
Langley,83,133282
Nanaimo-Ladysmith,78,115029
Delta,90,104409
Prince George,72,97473
Maple Ridge-Pitt Meadows,85,94526
Chilliwack,75,86489
Cowichan Valley,76,69607
Sooke,76,69112
New Westminster,78,66625
Vernon,83,64583
Saanich,77,63949
Comox Valley,78,63690
Okanagan Skaha,84,53549
West Vancouver,98,51268
Qualicum,77,44668
Campbell River,79,41861
Mission,77,41562
Kootenay Lake,80,41219
Southeast Kootenay,86,41004
Coast Mountains,73,36765
Sea to Sky,85,35346
Peace River North,72,34739
Kootenay-Columbia,85,33257
Sunshine Coast,80,28803
Peace River South,73,27009
Rocky Mountain,85,25177
Okanagan Similkameen,77,24201
Quesnel,76,24003
Nechako Lakes,68,23770
Powell River,74,19852
Bulkley Valley,76,15882
Prince Rupert,67,15370
Gulf Islands,78,14992
Boundary,85,12357
Vancouver Island North,73,12212
Gold Trail,68,11469
Revelstoke,87,8206
Fort Nelson,76,5824
Arrow Lakes,84,4726
Central Coast,68,3487
Vancouver Island West,63,2410
Stikine,58,2162
Nisga'a,52,1937
