,School District,Estimated Completion Rate,Population
47,Vancouver,84,635383
46,Surrey,85,483813
4,Burnaby,86,225039
16,Greater Victoria,80,223584
11,Coquitlam,90,222578
38,Richmond,92,192277
7,Central Okanagan,84,181213
27,North Vancouver,88,139308
0,Abbotsford,86,137431
20,Langley,83,133282
23,Nanaimo-Ladysmith,78,115029
13,Delta,90,104409
33,Prince George,72,97473
21,Maple Ridge-Pitt Meadows,85,94526
8,Chilliwack,75,86489
12,Cowichan Valley,76,69607
42,Sooke,76,69112
25,New Westminster,78,66625
50,Vernon,83,64583
40,Saanich,77,63949
10,Comox Valley,78,63690
29,Okanagan Skaha,84,53549
51,West Vancouver,98,51268
35,Qualicum,77,44668
5,Campbell River,79,41861
22,Mission,77,41562
18,Kootenay Lake,80,41219
43,Southeast Kootenay,86,41004
9,Coast Mountains,73,36765
41,Sea to Sky,85,35346
30,Peace River North,72,34739
19,Kootenay-Columbia,85,33257
45,Sunshine Coast,80,28803
31,Peace River South,73,27009
39,Rocky Mountain,85,25177
28,Okanagan Similkameen,77,24201
36,Quesnel,76,24003
24,Nechako Lakes,68,23770
32,Powell River,74,19852
3,Bulkley Valley,76,15882
34,Prince Rupert,67,15370
17,Gulf Islands,78,14992
2,Boundary,85,12357
48,Vancouver Island North,73,12212
15,Gold Trail,68,11469
37,Revelstoke,87,8206
14,Fort Nelson,76,5824
1,Arrow Lakes,84,4726
6,Central Coast,68,3487
49,Vancouver Island West,63,2410
44,Stikine,58,2162
26,Nisga'a,52,1937
