"Region","School District","Year","Gender","Total"
5,"Southeast Kootenay",1997,"T",40656
6,"Rocky Mountain",1997,"T",24963
8,"Kootenay Lake",1997,"T",41417
10,"Arrow Lakes",1997,"T",5243
19,"Revelstoke",1997,"T",8830
20,"Kootenay-Columbia",1997,"T",34402
22,"Vernon",1997,"T",58200
23,"Central Okanagan",1997,"T",145439
27,"Cariboo - Chilcotin",1997,"T",44406
28,"Quesnel",1997,"T",26601
33,"Chilliwack",1997,"T",69616
34,"Abbotsford",1997,"T",114242
35,"Langley",1997,"T",111998
36,"Surrey",1997,"T",348245
37,"Delta",1997,"T",101467
38,"Richmond",1997,"T",160425
39,"Vancouver",1997,"T",554340
40,"New Westminster",1997,"T",52852
41,"Burnaby",1997,"T",190535
42,"Maple Ridge-Pitt Meadows",1997,"T",75069
43,"Coquitlam",1997,"T",184402
44,"North Vancouver",1997,"T",129501
45,"West Vancouver",1997,"T",50091
46,"Sunshine Coast",1997,"T",26101
47,"Powell River",1997,"T",20533
48,"Sea to Sky",1997,"T",28544
49,"Central Coast",1997,"T",4218
50,"Haida Qwaii/Queen Charlotte",1997,"T",5461
51,"Boundary",1997,"T",12852
52,"Prince Rupert",1997,"T",19867
53,"Okanagan Similkameen",1997,"T",22807
54,"Bulkley Valley",1997,"T",17015
57,"Prince George",1997,"T",103366
58,"Nicola - Similkameen",1997,"T",16707
59,"Peace River South",1997,"T",28891
60,"Peace River North",1997,"T",29670
61,"Greater Victoria",1997,"T",208942
62,"Sooke",1997,"T",53218
63,"Saanich",1997,"T",58815
64,"Gulf Islands",1997,"T",13782
67,"Okanagan Skaha",1997,"T",51372
68,"Nanaimo-Ladysmith",1997,"T",101751
69,"Qualicum",1997,"T",37713
70,"Alberni",1997,"T",32594
71,"Comox Valley",1997,"T",57504
72,"Campbell River",1997,"T",40866
73,"Kamloops/Thompson",1997,"T",104767
74,"Gold Trail",1997,"T",12862
75,"Mission",1997,"T",36548
78,"Fraser - Cascade",1997,"T",16101
79,"Cowichan Valley",1997,"T",63832
81,"Fort Nelson",1997,"T",6332
82,"Coast Mountains",1997,"T",43062
83,"Okanagan - Shuswap",1997,"T",50430
84,"Vancouver Island West",1997,"T",3660
85,"Vancouver Island North",1997,"T",14979
87,"Stikine",1997,"T",2524
91,"Nechako Lakes",1997,"T",25882
92,"Nisga'a",1997,"T",2075
5,"Southeast Kootenay",1998,"T",40288
6,"Rocky Mountain",1998,"T",24553
8,"Kootenay Lake",1998,"T",40972
10,"Arrow Lakes",1998,"T",5219
19,"Revelstoke",1998,"T",8608
20,"Kootenay-Columbia",1998,"T",34143
22,"Vernon",1998,"T",58250
23,"Central Okanagan",1998,"T",148799
27,"Cariboo - Chilcotin",1998,"T",44219
28,"Quesnel",1998,"T",26326
33,"Chilliwack",1998,"T",70137
34,"Abbotsford",1998,"T",116060
35,"Langley",1998,"T",113982
36,"Surrey",1998,"T",358400
37,"Delta",1998,"T",101747
38,"Richmond",1998,"T",164898
39,"Vancouver",1998,"T",560268
40,"New Westminster",1998,"T",54541
41,"Burnaby",1998,"T",192021
42,"Maple Ridge-Pitt Meadows",1998,"T",76446
43,"Coquitlam",1998,"T",189589
44,"North Vancouver",1998,"T",131084
45,"West Vancouver",1998,"T",49984
46,"Sunshine Coast",1998,"T",26233
47,"Powell River",1998,"T",20246
48,"Sea to Sky",1998,"T",29430
49,"Central Coast",1998,"T",4144
50,"Haida Qwaii/Queen Charlotte",1998,"T",5271
51,"Boundary",1998,"T",12814
52,"Prince Rupert",1998,"T",19068
53,"Okanagan Similkameen",1998,"T",22903
54,"Bulkley Valley",1998,"T",17072
57,"Prince George",1998,"T",102147
58,"Nicola - Similkameen",1998,"T",16518
59,"Peace River South",1998,"T",28147
60,"Peace River North",1998,"T",29845
61,"Greater Victoria",1998,"T",209322
62,"Sooke",1998,"T",53813
